Godot Engine v4.6.3.stable.mono.official.7d41c59c4 - https://godotengine.org

WwiseGodot: (LOG) Sound engine initialized successfully.
WwiseGodot: (LOG) WwiseGodot: Wwise(R) SDK v2025.1.9 Build 9197.
[AUDIO  ] wwise_spike=started  playing_id=1
[AUDIO  ] wwise_spike=running  duration_seconds=900.0  evidence=C:\Users\Tim\Development\Godot\rhythm-game-prototype\spikes\wwise\evidence\editor/wwise-timing-2026-08-20T14-07-54
[TIMING ] wwise_callback=sync_point  position_beats=0.011  error_ms=5.000
[TIMING ] wwise_callback=sync_point  position_beats=0.011  error_ms=5.000
[TIMING ] wwise_callback=entry  position_beats=0.011  error_ms=5.000
[TIMING ] wwise_callback=bar  position_beats=0.011  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=0.011  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=0.011  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=0.971  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=0.971  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=2.000  error_ms=6.000
[TIMING ] wwise_callback=grid  position_beats=2.000  error_ms=6.000
[TIMING ] wwise_callback=beat  position_beats=2.957  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=2.957  error_ms=0.000
[TIMING ] wwise_callback=bar  position_beats=3.989  error_ms=6.000
[TIMING ] wwise_callback=beat  position_beats=3.989  error_ms=6.000
[TIMING ] wwise_callback=grid  position_beats=3.989  error_ms=6.000
[TIMING ] wwise_callback=beat  position_beats=5.003  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=5.003  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=5.971  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=5.971  error_ms=4.000
[TIMING ] wwise_callback=beat  position_beats=6.983  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=6.983  error_ms=2.000
[TIMING ] wwise_callback=bar  position_beats=8.008  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=8.008  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=8.008  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=9.054  error_ms=40.000
[TIMING ] wwise_callback=grid  position_beats=9.054  error_ms=40.000
[TIMING ] wwise_callback=beat  position_beats=9.999  error_ms=7.000
[TIMING ] wwise_callback=grid  position_beats=9.999  error_ms=7.000
[TIMING ] wwise_callback=beat  position_beats=10.970  error_ms=7.000
[TIMING ] wwise_callback=grid  position_beats=10.970  error_ms=7.000
[TIMING ] wwise_callback=bar  position_beats=11.982  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=11.982  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=11.982  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=12.998  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=12.998  error_ms=4.000
[TIMING ] wwise_callback=beat  position_beats=13.966  error_ms=3.000
