Godot Engine v4.6.3.stable.mono.official.7d41c59c4 - https://godotengine.org

WwiseGodot: (LOG) Sound engine initialized successfully.
WwiseGodot: (LOG) WwiseGodot: Wwise(R) SDK v2025.1.9 Build 9197.
[AUDIO  ] wwise_spike=started  playing_id=1
[AUDIO  ] wwise_spike=running  duration_seconds=900.0  evidence=C:\Users\Tim\Development\Godot\rhythm-game-prototype\spikes\wwise\evidence\editor/wwise-timing-2026-08-19T13-43-49
[TIMING ] wwise_callback=sync_point  position_beats=0.009  error_ms=4.000
[TIMING ] wwise_callback=sync_point  position_beats=0.009  error_ms=4.000
[TIMING ] wwise_callback=entry  position_beats=0.009  error_ms=4.000
[TIMING ] wwise_callback=bar  position_beats=0.009  error_ms=4.000
[TIMING ] wwise_callback=beat  position_beats=0.009  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=0.009  error_ms=4.000
[TIMING ] wwise_callback=beat  position_beats=0.981  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=0.981  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=1.998  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=1.998  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=2.966  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=2.966  error_ms=4.000
[TIMING ] wwise_callback=bar  position_beats=3.980  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=3.980  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=3.980  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=4.996  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=4.996  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=5.963  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=5.963  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=6.992  error_ms=6.000
[TIMING ] wwise_callback=grid  position_beats=6.992  error_ms=6.000
[TIMING ] wwise_callback=bar  position_beats=8.008  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=8.008  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=8.008  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=8.968  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=8.968  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=9.997  error_ms=6.000
[TIMING ] wwise_callback=grid  position_beats=9.997  error_ms=6.000
[TIMING ] wwise_callback=beat  position_beats=10.965  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=10.965  error_ms=5.000
[TIMING ] wwise_callback=bar  position_beats=11.975  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=11.975  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=11.975  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=12.991  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=12.991  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=13.962  error_ms=1.000
