elapsed_ms,record_type,kind,index,position_beats,callback_position_ms,sampled_position_ms,error_ms,value
65.754,callback,sync_point,0,0.008667,0.000,4.000,4.000,
65.899,callback,sync_point,0,0.008667,0.000,4.000,4.000,
66.008,callback,entry,0,0.008667,0.000,4.000,4.000,
66.273,callback,bar,0,0.008667,0.000,4.000,4.000,
66.363,callback,beat,0,0.008667,0.000,4.000,4.000,
66.453,callback,grid,0,0.008667,0.000,4.000,4.000,
176.123,boundary,quarter,0,0.262165,,,,0.25
293.397,boundary,half,0,0.513496,,,,
410.706,boundary,quarter,0,0.758328,,,,0.75
507.346,callback,beat,1,0.981493,448.000,453.000,5.000,
507.504,callback,grid,1,0.981493,448.000,453.000,5.000,
521.126,boundary,beat,1,1.011826,,,,
638.473,boundary,quarter,1,1.260991,,,,0.25
756.980,boundary,half,1,1.510156,,,,
873.062,boundary,quarter,1,1.759321,,,,0.75
976.561,callback,beat,2,1.997653,917.000,922.000,5.000,
976.717,callback,grid,2,1.997653,917.000,922.000,5.000,
983.456,boundary,beat,2,2.012819,,,,
1100.751,boundary,quarter,2,2.259818,,,,0.25
1218.044,boundary,half,2,2.508983,,,,
1322.686,boundary,quarter,2,2.751648,,,,0.75
1426.123,callback,beat,3,2.966146,1365.000,1369.000,4.000,
1426.296,callback,grid,3,2.966146,1365.000,1369.000,4.000,
1445.779,boundary,beat,3,3.013812,,,,
1563.070,boundary,quarter,3,3.258644,,,,0.25
1680.327,boundary,half,3,3.505642,,,,
1790.737,boundary,quarter,3,3.763474,,,,0.75
1894.226,callback,bar,4,3.980139,1835.000,1837.000,2.000,
1894.390,callback,beat,4,3.980139,1835.000,1837.000,2.000,
1894.719,callback,grid,4,3.980139,1835.000,1837.000,2.000,
1908.050,boundary,beat,4,4.010472,,,,
2025.839,boundary,quarter,4,4.261804,,,,0.25
2142.646,boundary,half,4,4.506636,,,,
2253.035,boundary,quarter,4,4.762300,,,,0.75
2363.410,callback,beat,5,4.996299,2304.000,2306.000,2.000,
2363.515,callback,grid,5,4.996299,2304.000,2306.000,2.000,
2370.332,boundary,beat,5,5.009299,,,,
2487.666,boundary,quarter,5,5.258464,,,,0.25
2598.062,boundary,half,5,5.514129,,,,
2715.343,boundary,quarter,5,5.758960,,,,0.75
2811.888,callback,beat,6,5.962625,2752.000,2752.000,0.000,
2811.989,callback,grid,6,5.962625,2752.000,2752.000,0.000,
2832.686,boundary,beat,6,6.010292,,,,
2950.382,boundary,quarter,6,6.257290,,,,0.25
3060.325,boundary,half,6,6.510788,,,,
