elapsed_ms,record_type,kind,index,position_beats,callback_position_ms,sampled_position_ms,error_ms,value
42.100,callback,sync_point,0,0.002167,0.000,1.000,1.000,
42.283,callback,sync_point,0,0.002167,0.000,1.000,1.000,
42.430,callback,entry,0,0.002167,0.000,1.000,1.000,
42.558,callback,bar,0,0.002167,0.000,1.000,1.000,
42.674,callback,beat,0,0.002167,0.000,1.000,1.000,
42.786,callback,grid,0,0.002167,0.000,1.000,1.000,
154.835,boundary,quarter,0,0.262165,,,,0.25
192.052,position_regression,continuous,0,0.324998,,,-9.235,accepted=false
273.343,boundary,half,0,0.515663,,,,
360.927,position_regression,continuous,0,0.693329,,,-9.210,accepted=false
392.178,boundary,quarter,0,0.762661,,,,0.75
486.048,callback,beat,1,0.981493,448.000,453.000,5.000,
486.907,callback,grid,1,0.981493,448.000,453.000,5.000,
498.679,boundary,beat,1,1.009660,,,,
511.015,position_regression,continuous,0,1.016160,,,-9.204,accepted=false
617.300,boundary,quarter,1,1.260991,,,,0.25
685.990,position_regression,continuous,0,1.397490,,,-9.239,accepted=false
731.724,boundary,half,1,1.501490,,,,
831.709,position_regression,continuous,0,1.709488,,,-9.030,accepted=false
854.848,boundary,quarter,1,1.765821,,,,0.75
954.834,callback,beat,2,1.995486,917.000,921.000,4.000,
955.834,callback,grid,2,1.995486,917.000,921.000,4.000,
961.105,boundary,beat,2,2.008486,,,,
1004.798,position_regression,continuous,0,2.088652,,,-9.120,accepted=false
1079.892,boundary,quarter,2,2.259818,,,,0.25
1154.826,position_regression,continuous,0,2.411483,,,-9.163,accepted=false
1192.375,boundary,half,2,2.500316,,,,
1304.934,boundary,quarter,2,2.758148,,,,0.75
1323.694,position_regression,continuous,0,2.779814,,,-9.294,accepted=false
1404.997,callback,beat,3,2.966146,1365.000,1369.000,4.000,
1405.182,callback,grid,3,2.966146,1365.000,1369.000,4.000,
1423.855,boundary,beat,3,3.011646,,,,
1473.740,position_regression,continuous,0,3.102645,,,-9.273,accepted=false
1542.515,boundary,quarter,3,3.260811,,,,0.25
1642.510,position_regression,continuous,0,3.470976,,,-8.257,accepted=false
1661.355,boundary,half,3,3.514309,,,,
1769.144,boundary,quarter,3,3.761307,,,,0.75
1792.573,position_regression,continuous,0,3.793807,,,-9.269,accepted=false
1873.892,callback,bar,4,3.982306,1835.000,1838.000,3.000,
1878.660,callback,beat,4,3.982306,1835.000,1838.000,3.000,
1878.805,callback,grid,4,3.982306,1835.000,1838.000,3.000,
1882.396,boundary,beat,4,4.001806,,,,
1961.335,position_regression,continuous,0,4.162138,,,-8.260,accepted=false
2005.131,boundary,quarter,4,4.261804,,,,0.25
2111.357,position_regression,continuous,0,4.484969,,,-8.244,accepted=false
2123.903,boundary,half,4,4.510969,,,,
2230.112,boundary,quarter,4,4.755800,,,,0.75
2286.442,position_regression,continuous,0,4.866300,,,-8.302,accepted=false
2342.930,callback,beat,5,4.996299,2304.000,2306.000,2.000,
2343.096,callback,grid,5,4.996299,2304.000,2306.000,2.000,
2348.991,boundary,beat,5,5.009299,,,,
2436.431,position_regression,continuous,0,5.189131,,,-8.195,accepted=false
2467.725,boundary,quarter,5,5.260630,,,,0.25
2574.028,boundary,half,5,5.507629,,,,
2606.950,position_regression,continuous,0,5.559628,,,-9.028,accepted=false
2692.810,boundary,quarter,5,5.756794,,,,0.75
2755.384,position_regression,continuous,0,5.880293,,,-8.324,accepted=false
2792.767,callback,beat,6,5.966959,2752.000,2754.000,2.000,
2792.958,callback,grid,6,5.966959,2752.000,2754.000,2.000,
